movie_id,title,movie_decade,movie_year,genre1,genre2,genre3,genre4,genre5,genre6
1,Toy Story,1990s,,Animation,Children's,Comedy,,,
2,Jumanji,1990s,,Adventure,Children's,Fantasy,,,
3,Grumpier Old Men,1990s,,Comedy,Romance,,,,
4,Waiting to Exhale,1990s,,Comedy,Drama,,,,
5,Father of the Bride Part II,1990s,,Comedy,,,,,
6,Heat,1990s,,Action,Crime,Thriller,,,
7,Sabrina,1990s,,Comedy,Romance,,,,
8,Tom and Huck,1990s,,Adventure,Children's,,,,
9,Sudden Death,1990s,,Action,,,,,
10,GoldenEye,1990s,,Action,Adventure,Thriller,,,
11,"American President, The",1990s,,Comedy,Drama,Romance,,,
12,Dracula: Dead and Loving It,1990s,,Comedy,Horror,,,,
13,Balto,1990s,,Animation,Children's,,,,
14,Nixon,1990s,,Drama,,,,,
15,Cutthroat Island,1990s,,Action,Adventure,Romance,,,
16,Casino,1990s,,Drama,Thriller,,,,
17,Sense and Sensibility,1990s,,Drama,Romance,,,,
18,Four Rooms,1990s,,Thriller,,,,,
19,Ace Ventura: When Nature Calls,1990s,,Comedy,,,,,
20,Money Train,1990s,,Action,,,,,
21,Get Shorty,1990s,,Action,Comedy,Drama,,,
22,Copycat,1990s,,Crime,Drama,Thriller,,,
23,Assassins,1990s,,Thriller,,,,,
24,Powder,1990s,,Drama,Sci-Fi,,,,
25,Leaving Las Vegas,1990s,,Drama,Romance,,,,
26,Othello,1990s,,Drama,,,,,
27,Now and Then,1990s,,Drama,,,,,
28,Persuasion,1990s,,Romance,,,,,
29,"City of Lost Children, The",1990s,,Adventure,Sci-Fi,,,,
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1990s,,Drama,,,,,
31,Dangerous Minds,1990s,,Drama,,,,,
32,Twelve Monkeys,1990s,,Drama,Sci-Fi,,,,
33,Wings of Courage,1990s,,Adventure,Romance,,,,
34,Babe,1990s,,Children's,Comedy,Drama,,,
35,Carrington,1990s,,Drama,Romance,,,,
36,Dead Man Walking,1990s,,Drama,,,,,
37,Across the Sea of Time,1990s,,Documentary,,,,,
38,It Takes Two,1990s,,Comedy,,,,,
39,Clueless,1990s,,Comedy,Romance,,,,
40,"Cry, the Beloved Country",1990s,,Drama,,,,,
41,Richard III,1990s,,Drama,War,,,,
42,Dead Presidents,1990s,,Action,Crime,Drama,,,
43,Restoration,1990s,,Drama,,,,,
44,Mortal Kombat,1990s,,Action,Adventure,,,,
45,To Die For,1990s,,Comedy,Drama,,,,
46,How to Make an American Quilt,1990s,,Drama,Romance,,,,
47,Seven (Se7en),1990s,,Crime,Thriller,,,,
48,Pocahontas,1990s,,Animation,Children's,Musical,Romance,,
49,When Night Is Falling,1990s,,Drama,Romance,,,,
50,"Usual Suspects, The",1990s,,Crime,Thriller,,,,
51,Guardian Angel,1990s,,Action,Drama,Thriller,,,
52,Mighty Aphrodite,1990s,,Comedy,,,,,
53,Lamerica,1990s,,Drama,,,,,
54,"Big Green, The",1990s,,Children's,Comedy,,,,
55,Georgia,1990s,,Drama,,,,,
56,Kids of the Round Table,1990s,,Adventure,Children's,Fantasy,,,
57,Home for the Holidays,1990s,,Drama,,,,,
58,"Postino, Il (The Postman)",1990s,,Drama,Romance,,,,
59,"Confessional, The (Le Confessionnal)",1990s,,Drama,Mystery,,,,
60,"Indian in the Cupboard, The",1990s,,Adventure,Children's,Fantasy,,,
61,Eye for an Eye,1990s,,Drama,Thriller,,,,
62,Mr. Holland's Opus,1990s,,Drama,,,,,
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1990s,,Comedy,,,,,
64,Two if by Sea,1990s,,Comedy,Romance,,,,
65,Bio-Dome,1990s,,Comedy,,,,,
66,Lawnmower Man 2: Beyond Cyberspace,1990s,,Sci-Fi,Thriller,,,,
67,Two Bits,1990s,,Drama,,,,,
68,French Twist (Gazon maudit),1990s,,Comedy,Romance,,,,
